sample_id,split,source_file,output_file,source_rows,candidate_windows,valid_windows,rejected_gap_windows,sequence_length,stride,feature_dim,status,error,processing_sec
sujin_fall_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_01_sequences.npz,1796,356,349,7,20,5,315,completed,,0.4370150566101074
sujin_fall_normal_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_02_sequences.npz,1201,237,233,4,20,5,315,completed,,0.23514509201049805
sujin_fall_normal_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_03_sequences.npz,125,22,22,0,20,5,315,completed,,0.04686331748962402
sujin_fall_normal_06,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_06_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_06_sequences.npz,127,22,19,3,20,5,315,completed,,0.0595860481262207
sujin_fall_normal_07,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_07_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_07_sequences.npz,127,22,22,0,20,5,315,completed,,0.06910967826843262
sujin_fall_normal_08,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_08_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_08_sequences.npz,126,22,22,0,20,5,315,completed,,0.08137059211730957
sujin_fall_normal_09,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_09_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_09_sequences.npz,127,22,22,0,20,5,315,completed,,0.04079794883728027
sujin_fall_normal_10,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_10_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_10_sequences.npz,130,23,23,0,20,5,315,completed,,0.03485536575317383
sujin_fall_normal_11,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_11_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_11_sequences.npz,126,22,22,0,20,5,315,completed,,0.043265581130981445
sujin_fall_normal_12,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_12_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_12_sequences.npz,155,28,28,0,20,5,315,completed,,0.05864238739013672
sujin_fall_normal_13,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_13_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_13_sequences.npz,128,22,22,0,20,5,315,completed,,0.06071925163269043
sujin_fall_normal_14,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_14_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_14_sequences.npz,128,22,22,0,20,5,315,completed,,0.08802652359008789
sujin_fall_normal_15,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_15_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_15_sequences.npz,127,22,18,4,20,5,315,completed,,0.047507286071777344
sujin_fall_normal_16,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_normal_16_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_normal_16_sequences.npz,126,22,22,0,20,5,315,completed,,0.06096601486206055
sujin_fall_stay_down_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_stay_down_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_stay_down_01_sequences.npz,1810,359,339,20,20,5,315,completed,,0.34243226051330566
sujin_fall_stay_down_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_stay_down_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_stay_down_02_sequences.npz,108,18,18,0,20,5,315,completed,,0.05221247673034668
sujin_fall_stay_down_05,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_fall_stay_down_05_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_fall_stay_down_05_sequences.npz,99,16,16,0,20,5,315,completed,,0.03235197067260742
sujin_free_activity_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_free_activity_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_free_activity_03_sequences.npz,2997,596,596,0,20,5,315,completed,,0.5946404933929443
sujin_free_activity_normal_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_free_activity_normal_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_free_activity_normal_02_sequences.npz,3004,597,597,0,20,5,315,completed,,0.6807866096496582
sujin_lie_down_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_lie_down_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_lie_down_normal_01_sequences.npz,1792,355,346,9,20,5,315,completed,,0.4925823211669922
sujin_pick_up_normal_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_02_sequences.npz,1798,356,346,10,20,5,315,completed,,0.635890007019043
sujin_pick_up_normal_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_03_sequences.npz,130,23,23,0,20,5,315,completed,,0.0757303237915039
sujin_pick_up_normal_04,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_04_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_04_sequences.npz,126,22,22,0,20,5,315,completed,,0.07066178321838379
sujin_pick_up_normal_05,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_05_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_05_sequences.npz,126,22,22,0,20,5,315,completed,,0.07387042045593262
sujin_pick_up_normal_06,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_06_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_06_sequences.npz,129,22,22,0,20,5,315,completed,,0.06848382949829102
sujin_pick_up_normal_07,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_07_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_07_sequences.npz,133,23,23,0,20,5,315,completed,,0.06088685989379883
sujin_pick_up_normal_08,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_08_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_08_sequences.npz,129,22,22,0,20,5,315,completed,,0.06401300430297852
sujin_pick_up_normal_09,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_09_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_09_sequences.npz,127,22,22,0,20,5,315,completed,,0.06535458564758301
sujin_pick_up_normal_10,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_10_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_10_sequences.npz,123,21,21,0,20,5,315,completed,,0.1571669578552246
sujin_pick_up_normal_11,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_normal_11_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_normal_11_sequences.npz,129,22,22,0,20,5,315,completed,,0.2089676856994629
sujin_pick_up_variation_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_variation_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_variation_01_sequences.npz,1802,357,353,4,20,5,315,completed,,0.630242109298706
sujin_pick_up_variation_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_variation_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_variation_02_sequences.npz,129,22,22,0,20,5,315,completed,,0.09730172157287598
sujin_pick_up_variation_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_variation_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_variation_03_sequences.npz,128,22,22,0,20,5,315,completed,,0.07795357704162598
sujin_pick_up_variation_04,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_variation_04_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_variation_04_sequences.npz,127,22,22,0,20,5,315,completed,,0.16194486618041992
sujin_pick_up_variation_05,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_pick_up_variation_05_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_pick_up_variation_05_sequences.npz,126,22,22,0,20,5,315,completed,,0.12325048446655273
sujin_sit_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_normal_01_sequences.npz,1216,240,240,0,20,5,315,completed,,0.47481393814086914
sujin_sit_normal_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_normal_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_normal_03_sequences.npz,128,22,22,0,20,5,315,completed,,0.11831808090209961
sujin_sit_normal_04,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_normal_04_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_normal_04_sequences.npz,139,24,24,0,20,5,315,completed,,0.1119837760925293
sujin_sit_normal_05,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_normal_05_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_normal_05_sequences.npz,127,22,22,0,20,5,315,completed,,0.09485268592834473
sujin_sit_normal_06,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_normal_06_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_normal_06_sequences.npz,129,22,22,0,20,5,315,completed,,0.03876829147338867
sujin_sit_normal_07,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_normal_07_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_normal_07_sequences.npz,126,22,22,0,20,5,315,completed,,0.03289985656738281
sujin_sit_normal_08,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_normal_08_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_normal_08_sequences.npz,126,22,22,0,20,5,315,completed,,0.030652761459350586
sujin_sit_normal_09,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_normal_09_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_normal_09_sequences.npz,129,22,22,0,20,5,315,completed,,0.03689694404602051
sujin_sit_to_stand_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_to_stand_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_to_stand_normal_01_sequences.npz,1805,358,358,0,20,5,315,completed,,0.33834266662597656
sujin_sit_to_stand_normal_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_to_stand_normal_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_to_stand_normal_03_sequences.npz,130,23,23,0,20,5,315,completed,,0.038352251052856445
sujin_sit_to_stand_normal_04,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_to_stand_normal_04_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_to_stand_normal_04_sequences.npz,126,22,22,0,20,5,315,completed,,0.036026954650878906
sujin_sit_to_stand_normal_05,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_sit_to_stand_normal_05_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_sit_to_stand_normal_05_sequences.npz,127,22,22,0,20,5,315,completed,,0.03610420227050781
sujin_stand_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_01_sequences.npz,1206,238,238,0,20,5,315,completed,,0.20585870742797852
sujin_stand_normal_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_02_sequences.npz,603,117,117,0,20,5,315,completed,,0.10311412811279297
sujin_stand_normal_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_03_sequences.npz,131,23,23,0,20,5,315,completed,,0.051859378814697266
sujin_stand_normal_04,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_04_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_04_sequences.npz,126,22,22,0,20,5,315,completed,,0.0394895076751709
sujin_stand_normal_05,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_05_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_05_sequences.npz,131,23,23,0,20,5,315,completed,,0.03313302993774414
sujin_stand_normal_07,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_07_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_07_sequences.npz,128,22,22,0,20,5,315,completed,,0.030257463455200195
sujin_stand_normal_08,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_08_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_08_sequences.npz,128,22,22,0,20,5,315,completed,,0.03209996223449707
sujin_stand_normal_09,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_09_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_09_sequences.npz,127,22,22,0,20,5,315,completed,,0.030533552169799805
sujin_stand_normal_10,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_10_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_10_sequences.npz,128,22,22,0,20,5,315,completed,,0.029262542724609375
sujin_stand_normal_11,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_11_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_11_sequences.npz,130,23,23,0,20,5,315,completed,,0.038360595703125
sujin_stand_normal_12,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_stand_normal_12_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_stand_normal_12_sequences.npz,130,23,23,0,20,5,315,completed,,0.031249046325683594
sujin_walk_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_01_sequences.npz,1205,238,238,0,20,5,315,completed,,0.1654360294342041
sujin_walk_normal_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_02_sequences.npz,125,22,22,0,20,5,315,completed,,0.0334477424621582
sujin_walk_normal_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_03_sequences.npz,128,22,22,0,20,5,315,completed,,0.029900312423706055
sujin_walk_normal_04,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_04_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_04_sequences.npz,129,22,22,0,20,5,315,completed,,0.034423112869262695
sujin_walk_normal_05,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_05_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_05_sequences.npz,128,22,22,0,20,5,315,completed,,0.033426523208618164
sujin_walk_normal_08,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_08_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_08_sequences.npz,122,21,21,0,20,5,315,completed,,0.029191017150878906
sujin_walk_normal_09,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_09_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_09_sequences.npz,127,22,22,0,20,5,315,completed,,0.029360294342041016
sujin_walk_normal_10,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_10_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_10_sequences.npz,129,22,22,0,20,5,315,completed,,0.03168153762817383
sujin_walk_normal_11,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_11_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_11_sequences.npz,127,22,22,0,20,5,315,completed,,0.02957773208618164
sujin_walk_normal_12,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/sujin_walk_normal_12_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/sujin_walk_normal_12_sequences.npz,128,22,22,0,20,5,315,completed,,0.048563241958618164
yena_arm_move_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_arm_move_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_arm_move_normal_01_sequences.npz,1813,359,359,0,20,5,315,completed,,0.21276497840881348
yena_chair_sit_variation_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_chair_sit_variation_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_chair_sit_variation_02_sequences.npz,125,22,22,0,20,5,315,completed,,0.03282976150512695
yena_chair_sit_variation_03,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_chair_sit_variation_03_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_chair_sit_variation_03_sequences.npz,129,22,22,0,20,5,315,completed,,0.03067803382873535
yena_fall_normal_01,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_fall_normal_01_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_fall_normal_01_sequences.npz,1802,357,357,0,20,5,315,completed,,0.20408844947814941
yena_fall_normal_02,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_fall_normal_02_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_fall_normal_02_sequences.npz,1802,357,357,0,20,5,315,completed,,0.22075486183166504
yena_fall_normal_04,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_fall_normal_04_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_fall_normal_04_sequences.npz,130,23,23,0,20,5,315,completed,,0.03272700309753418
yena_fall_normal_05,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_fall_normal_05_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_fall_normal_05_sequences.npz,125,22,22,0,20,5,315,completed,,0.0326838493347168
yena_fall_normal_06,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_fall_normal_06_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_fall_normal_06_sequences.npz,123,21,21,0,20,5,315,completed,,0.032469987869262695
yena_fall_normal_07,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_fall_normal_07_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_fall_normal_07_sequences.npz,127,22,22,0,20,5,315,completed,,0.028939485549926758
yena_fall_normal_09,train,/content/gdrive/MyDrive/CareWave_Round4_Reextract/model_ready_315/train/yena_fall_normal_09_model_ready.npz,/content/gdrive/MyDrive/CareWave_Round4_Reextract/sequences_315/train/yena_fall_normal_09_sequences.npz,123,21,21,0,20,5,315,completed,,0.030308008193969727
