sample_id,split,pose_file,feature_file,output_file,pose_rows,csi_rows,time_matched_rows,valid_pose_rows,final_rows,matching_rate,mean_time_error_sec,max_time_error_sec,feature_dim,pose_dim,processing_sec,status,error
sujin_chair_sit_variation_03,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_chair_sit_variation_03_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_chair_sit_variation_03_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_chair_sit_variation_03_synchronized_315.npz,131,133,131,131,131,100.0,0.0008312018471769989,0.0016624040435999632,315,66,0.07329487800598145,completed,
sujin_fall_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_01_synchronized_315.npz,1798,1800,1798,1796,1796,99.88876529477196,0.005003115627914667,0.009999343194067478,315,66,0.3880198001861572,completed,
sujin_fall_normal_02,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_02_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_02_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_02_synchronized_315.npz,1206,1202,1202,1205,1201,99.58540630182421,0.0033209098037332296,0.006642388645559549,315,66,0.20728540420532227,completed,
sujin_fall_normal_03,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_03_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_03_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_03_synchronized_315.npz,125,125,125,125,125,100.0,0.0008266664226539433,0.0016537148039788008,315,66,0.04727029800415039,completed,
sujin_fall_normal_04,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_04_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_04_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_04_synchronized_315.npz,127,128,127,126,126,99.21259842519686,0.0008314512087963521,0.0016575133195146918,315,66,0.04507040977478027,completed,
sujin_fall_normal_05,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_05_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_05_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_05_synchronized_315.npz,128,129,128,127,127,99.21875,0.0008310889825224876,0.001658154185861349,315,66,0.04647493362426758,completed,
sujin_fall_normal_06,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_06_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_06_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_06_synchronized_315.npz,128,128,128,127,127,99.21875,0.0008335721213370562,0.0016624943818897009,315,66,0.045531511306762695,completed,
sujin_fall_normal_07,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_07_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_07_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_07_synchronized_315.npz,127,129,127,127,127,100.0,0.0008311313576996326,0.001661887625232339,315,66,0.048737287521362305,completed,
sujin_fall_normal_08,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_08_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_08_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_08_synchronized_315.npz,126,128,126,126,126,100.0,0.0008311168057844043,0.0016622340772300959,315,66,0.058344364166259766,completed,
sujin_fall_normal_09,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_09_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_09_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_09_synchronized_315.npz,127,127,127,127,127,100.0,0.0008311313576996326,0.001661887625232339,315,66,0.04492902755737305,completed,
sujin_fall_normal_10,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_10_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_10_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_10_synchronized_315.npz,130,131,130,130,130,100.0,0.0008290486875921488,0.001658479101024568,315,66,0.04574322700500488,completed,
sujin_fall_normal_11,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_11_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_11_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_11_synchronized_315.npz,126,127,126,126,126,100.0,1.3017229605338798e-07,3.814697322468419e-07,315,66,0.048174381256103516,completed,
sujin_fall_normal_12,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_12_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_12_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_12_synchronized_315.npz,155,156,155,155,155,100.0,0.000831533339805901,0.0016634484054520726,315,66,0.051812171936035156,completed,
sujin_fall_normal_13,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_13_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_13_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_13_synchronized_315.npz,128,129,128,128,128,100.0,0.0008268211968243122,0.0016538365744054317,315,66,0.046564340591430664,completed,
sujin_fall_normal_14,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_14_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_14_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_14_synchronized_315.npz,128,130,128,128,128,100.0,0.0008289800025522709,0.001658154185861349,315,66,0.04590249061584473,completed,
sujin_fall_normal_15,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_15_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_15_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_15_synchronized_315.npz,128,128,128,127,127,99.21875,0.0008337778854183853,0.0016624943818897009,315,66,0.047789573669433594,completed,
sujin_fall_normal_16,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_normal_16_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_normal_16_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_normal_16_synchronized_315.npz,127,126,126,127,126,99.21259842519686,1.3017229605338798e-07,3.814697322468419e-07,315,66,0.06274747848510742,completed,
sujin_fall_stay_down_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_stay_down_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_stay_down_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_stay_down_01_synchronized_315.npz,1816,1816,1816,1810,1810,99.66960352422907,0.00499694375321269,0.00999508984386921,315,66,0.3037831783294678,completed,
sujin_fall_stay_down_02,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_stay_down_02_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_stay_down_02_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_stay_down_02_synchronized_315.npz,108,111,108,108,108,100.0,0.0008256151922978461,0.0016514252638444304,315,66,0.05510735511779785,completed,
sujin_fall_stay_down_03,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_stay_down_03_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_stay_down_03_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_stay_down_03_synchronized_315.npz,100,105,100,100,100,100.0,1.0679661244239469e-07,3.814697322468419e-07,315,66,0.05397605895996094,completed,
sujin_fall_stay_down_04,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_stay_down_04_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_stay_down_04_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_stay_down_04_synchronized_315.npz,101,103,101,101,101,100.0,1.0573922537560065e-07,3.814697322468419e-07,315,66,0.06186389923095703,completed,
sujin_fall_stay_down_05,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_fall_stay_down_05_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_fall_stay_down_05_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_fall_stay_down_05_synchronized_315.npz,100,99,99,100,99,99.0,0.0008166625630110502,0.0016331425867974758,315,66,0.052278995513916016,completed,
sujin_free_activity_03,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_free_activity_03_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_free_activity_03_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_free_activity_03_synchronized_315.npz,2997,3006,2997,2997,2997,100.0,0.007499163504689932,0.014995520003139973,315,66,0.5427336692810059,completed,
sujin_free_activity_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_free_activity_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_free_activity_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_free_activity_normal_01_synchronized_315.npz,1800,1800,1800,1800,1800,100.0,0.0049972222186625,0.01000054832547903,315,66,0.34148192405700684,completed,
sujin_free_activity_normal_02,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_free_activity_normal_02_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_free_activity_normal_02_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_free_activity_normal_02_synchronized_315.npz,3007,3004,3004,3007,3004,99.90023279015631,0.00832409132272005,0.01666039414703846,315,66,0.5086402893066406,completed,
sujin_lie_down_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_lie_down_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_lie_down_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_lie_down_normal_01_synchronized_315.npz,1801,1802,1801,1792,1792,99.50027762354247,0.004996555857360363,0.009994998574256897,315,66,0.3408684730529785,completed,
sujin_pick_up_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_01_synchronized_315.npz,1802,1804,1802,1802,1802,100.0,0.004999071359634399,0.009993149898946285,315,66,0.33768558502197266,completed,
sujin_pick_up_normal_02,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_02_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_02_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_02_synchronized_315.npz,1805,1803,1803,1800,1798,99.61218836565097,0.0049852486699819565,0.009990120306611061,315,66,0.3228638172149658,completed,
sujin_pick_up_normal_03,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_03_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_03_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_03_synchronized_315.npz,130,131,130,130,130,100.0,1.3497013640062505e-07,3.814697322468419e-07,315,66,0.053009748458862305,completed,
sujin_pick_up_normal_04,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_04_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_04_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_04_synchronized_315.npz,126,127,126,126,126,100.0,0.0008311168057844043,0.0016622340772300959,315,66,0.04687643051147461,completed,
sujin_pick_up_normal_05,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_05_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_05_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_05_synchronized_315.npz,126,128,126,126,126,100.0,0.0008289123070426285,0.0016578249633312225,315,66,0.06884598731994629,completed,
sujin_pick_up_normal_06,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_06_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_06_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_06_synchronized_315.npz,129,129,129,129,129,100.0,0.0008268702658824623,0.0016535560134798288,315,66,0.048363447189331055,completed,
sujin_pick_up_normal_07,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_07_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_07_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_07_synchronized_315.npz,134,133,133,134,133,99.25373134328358,0.0008229410741478205,0.0016460759798064828,315,66,0.04808378219604492,completed,
sujin_pick_up_normal_08,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_08_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_08_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_08_synchronized_315.npz,129,129,129,129,129,100.0,0.0008290124242193997,0.0016578403301537037,315,66,0.047065019607543945,completed,
sujin_pick_up_normal_09,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_09_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_09_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_09_synchronized_315.npz,129,127,127,129,127,98.44961240310077,0.0008160590077750385,0.0016317429253831506,315,66,0.054192304611206055,completed,
sujin_pick_up_normal_10,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_10_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_10_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_10_synchronized_315.npz,123,126,123,123,123,100.0,0.0008310609846375883,0.001662316033616662,315,66,0.050164222717285156,completed,
sujin_pick_up_normal_11,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_11_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_11_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_11_synchronized_315.npz,129,130,129,129,129,100.0,0.0008290124242193997,0.0016578403301537037,315,66,0.05198931694030762,completed,
sujin_pick_up_normal_12,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_normal_12_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_normal_12_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_normal_12_synchronized_315.npz,129,128,128,129,128,99.2248062015504,0.0008204117184504867,0.0016410176176577806,315,66,0.04955458641052246,completed,
sujin_pick_up_variation_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_variation_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_variation_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_variation_01_synchronized_315.npz,1803,1804,1803,1802,1802,99.94453688297283,0.004997417330741882,0.009999353438615799,315,66,0.31455278396606445,completed,
sujin_pick_up_variation_02,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_variation_02_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_variation_02_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_variation_02_synchronized_315.npz,129,130,129,129,129,100.0,0.0008268702658824623,0.0016535560134798288,315,66,0.05253410339355469,completed,
sujin_pick_up_variation_03,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_variation_03_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_variation_03_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_variation_03_synchronized_315.npz,128,128,128,128,128,100.0,0.0008311501587741077,0.0016624943818897009,315,66,0.05207014083862305,completed,
sujin_pick_up_variation_04,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_variation_04_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_variation_04_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_variation_04_synchronized_315.npz,127,127,127,127,127,100.0,0.0008289442048408091,0.0016575133195146918,315,66,0.04807090759277344,completed,
sujin_pick_up_variation_05,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_pick_up_variation_05_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_pick_up_variation_05_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_pick_up_variation_05_synchronized_315.npz,127,126,126,127,126,99.21259842519686,1.3017229605338798e-07,3.814697322468419e-07,315,66,0.0500946044921875,completed,
sujin_sit_normal_01,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_sit_normal_01_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_sit_normal_01_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_sit_normal_01_synchronized_315.npz,1217,1216,1216,1217,1216,99.9178307313065,0.0033287673722952604,0.0066575342789292336,315,66,0.2519490718841553,completed,
sujin_sit_normal_02,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_sit_normal_02_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_sit_normal_02_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_sit_normal_02_synchronized_315.npz,127,126,126,127,126,99.21259842519686,0.000822368252556771,0.0016447368543595076,315,66,0.051206350326538086,completed,
sujin_sit_normal_03,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_sit_normal_03_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_sit_normal_03_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_sit_normal_03_synchronized_315.npz,128,129,128,128,128,100.0,0.0008289800025522709,0.001658154185861349,315,66,0.04749584197998047,completed,
sujin_sit_normal_04,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_sit_normal_04_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_sit_normal_04_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_sit_normal_04_synchronized_315.npz,139,139,139,139,139,100.0,0.0008293240098282695,0.0016584631521254778,315,66,0.047944068908691406,completed,
sujin_sit_normal_05,train,/content/drive/MyDrive/CareWave_Round4_Reextract/final_split/pose/train/sujin_sit_normal_05_pose.csv,/content/drive/MyDrive/CareWave_Round4_Reextract/features_315/train/sujin_sit_normal_05_features_315.npz,/content/drive/MyDrive/CareWave_Round4_Reextract/synchronized_315/train/sujin_sit_normal_05_synchronized_315.npz,127,129,127,127,127,100.0,0.0008289442048408091,0.0016575133195146918,315,66,0.04516291618347168,completed,
